Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
154,63,0.8127872670807452,0.03716778470581078,0.004522705078125,0.00011888905427699755,0.0027324676513671873,6.338839385311148e-05,gini,3,1,7,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.8125
150,63,0.8127872670807452,0.03716778470581078,0.004609060287475586,0.0001018180101478775,0.0028812408447265623,5.535366774765137e-05,gini,3,1,5,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.8125
152,63,0.8127872670807452,0.03716778470581078,0.004676246643066406,5.8806530966715554e-05,0.002757883071899414,6.663014036395098e-05,gini,3,1,6,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 6, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.8125
158,63,0.8127872670807452,0.03716778470581078,0.0056400299072265625,0.0008755700856466506,0.00330204963684082,0.0009435782485655009,gini,3,1,9,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 9, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.8125
156,63,0.8127872670807452,0.03716778470581078,0.006657075881958008,0.0040031780400131955,0.0027810096740722655,6.012774759990676e-05,gini,3,1,8,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 8, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.8125
737,68,0.81277950310559,0.039066926613503694,0.004516983032226562,0.0001456018651349087,0.002722358703613281,0.00012056670782870358,gini,14,4,8,random,"{'criterion': 'gini', 'max_depth': 14, 'min_samples_leaf': 4, 'min_samples_split': 8, 'splitter': 'random'}",0.7763975155279503,0.7875,0.88125,0.83125,0.7875
1313,69,0.8127717391304348,0.029562419944379775,0.00447549819946289,0.0002911064724254292,0.0025540828704833985,0.0002375286947310006,entropy,11,2,6,random,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 2, 'min_samples_split': 6, 'splitter': 'random'}",0.782608695652174,0.81875,0.85,0.8375,0.775
475,69,0.8127717391304348,0.03931681158191574,0.004696416854858399,0.00029093137482775897,0.0031621456146240234,0.00033152944865516787,gini,9,3,7,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'random'}",0.782608695652174,0.79375,0.86875,0.85,0.76875
619,71,0.8127562111801243,0.03588216349971983,0.004841804504394531,0.00032857010991628043,0.003521156311035156,0.0012508211919112242,gini,12,2,9,random,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 2, 'min_samples_split': 9, 'splitter': 'random'}",0.7950310559006211,0.8,0.84375,0.8625,0.7625
385,72,0.8127329192546584,0.04127156412733546,0.004735374450683593,0.0003636771890845841,0.003055286407470703,0.00044930716976923965,gini,7,4,7,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 7, 'splitter': 'random'}",0.8136645962732919,0.79375,0.875,0.83125,0.75
